Name,Tier,Size,Family,Series,vCPUs,MemoryGB,Generation,Architecture
Standard_E4s_v6,Standard,E4s_v6,MemoryOptimized,Esv6,4,32,6,Intel
Standard_E4s_v7,Standard,E4s_v7,MemoryOptimized,Esv7,4,32,7,Intel
Standard_E4_v3,Standard,E4_v3,MemoryOptimized,Ev3,4,32,3,Intel
Standard_E4_v4,Standard,E4_v4,MemoryOptimized,Ev4,4,32,4,Intel
Standard_E4_v5,Standard,E4_v5,MemoryOptimized,Ev5,4,32,5,Intel
Standard_EC4ads_cc_v5,Standard,EC4ads_cc_v5,MemoryOptimizedConfidential,ECADCCV5,4,32,5,AMD
Standard_EC4ads_v5,Standard,EC4ads_v5,MemoryOptimizedConfidential,ECADSv5,4,32,5,AMD
Standard_EC4ads_v6,Standard,EC4ads_v6,MemoryOptimizedConfidential,ECadsv6,4,32,6,AMD
Standard_EC4as_cc_v5,Standard,EC4as_cc_v5,MemoryOptimizedConfidential,ECACCV5,4,32,5,AMD
Standard_EC4as_v5,Standard,EC4as_v5,MemoryOptimizedConfidential,ECASv5,4,32,5,AMD
Standard_EC4as_v6,Standard,EC4as_v6,MemoryOptimizedConfidential,ECasv6,4,32,6,AMD
Standard_F4,Standard,F4,ComputeOptimized,F,4,8,1,Intel
Standard_F4-1amds_v7,Standard,F4-1amds_v7,ComputeOptimized,Famdsv7,4,32,7,AMD
Standard_F4-1ams_v7,Standard,F4-1ams_v7,ComputeOptimized,Famsv7,4,32,7,AMD
Standard_F4-2amds_v7,Standard,F4-2amds_v7,ComputeOptimized,Famdsv7,4,32,7,AMD
Standard_F4-2ams_v7,Standard,F4-2ams_v7,ComputeOptimized,Famsv7,4,32,7,AMD
Standard_F4ads_v7,Standard,F4ads_v7,ComputeOptimized,Fadsv7,4,16,7,AMD
Standard_F4alds_v7,Standard,F4alds_v7,ComputeOptimized,Faldsv7,4,8,7,AMD
Standard_F4als_v6,Standard,F4als_v6,ComputeOptimized,Falsv6,4,8,6,AMD
Standard_F4als_v7,Standard,F4als_v7,ComputeOptimized,Falsv7,4,8,7,AMD
Standard_F4amds_v7,Standard,F4amds_v7,ComputeOptimized,Famdsv7,4,32,7,AMD
Standard_F4ams_v6,Standard,F4ams_v6,ComputeOptimized,Famsv6,4,32,6,AMD
Standard_F4ams_v7,Standard,F4ams_v7,ComputeOptimized,Famsv7,4,32,7,AMD
Standard_F4as_v6,Standard,F4as_v6,ComputeOptimized,Fasv6,4,16,6,AMD
Standard_F4as_v7,Standard,F4as_v7,ComputeOptimized,Fasv7,4,16,7,AMD
Standard_F4s,Standard,F4s,ComputeOptimized,FS,4,8,1,Intel
Standard_F4s_v2,Standard,F4s_v2,ComputeOptimized,FSv2,4,8,2,Intel
Standard_FX4-2mds_v2,Standard,FX4-2mds_v2,ComputeOptimized,FXmdsv2,4,84,2,Intel
Standard_FX4-2ms_v2,Standard,FX4-2ms_v2,ComputeOptimized,FXmsv2,4,84,2,Intel
Standard_FX4mds,Standard,FX4mds,ComputeOptimized,FXMDVS,4,84,1,Intel
Standard_FX4mds_v2,Standard,FX4mds_v2,ComputeOptimized,FXmdsv2,4,84,2,Intel
Standard_FX4ms_v2,Standard,FX4ms_v2,ComputeOptimized,FXmsv2,4,84,2,Intel
Standard_L4aos_v4,Standard,L4aos_v4,StorageOptimized,Laosv4,4,32,4,AMD
Standard_L4as_v4,Standard,L4as_v4,StorageOptimized,Lasv4,4,32,4,AMD
Standard_L4s_v4,Standard,L4s_v4,StorageOptimized,Lsv4,4,32,4,Intel
Standard_NC4as_T4_v3,Standard,NC4as_T4_v3,GPU,NCasT4_v3,4,28,3,AMD
Standard_NV4ads_V710_v5,Standard,NV4ads_V710_v5,GPU,NVads V710 v5,4,16,5,AMD
Standard_NV4as_v4,Standard,NV4as_v4,GraphicsOptimized,NVv4,4,14,4,AMD
Standard_DS5_v2,Standard,DS5_v2,GeneralPurpose,DSv2,16,56,2,Intel
Standard_NC6s_v3,Standard,NC6s_v3,GPU,NCv3,6,112,3,Intel
Standard_NV6ads_A10_v5,Standard,NV6ads_A10_v5,GPU,NVadsA10 v5,6,55,5,AMD
Standard_PB6s,Standard,PB6s,FPGAInstances,PBS,6,112,1,Intel
Standard_A8m_v2,Standard,A8m_v2,EntryLevel,Av2,8,64,2,Intel
Standard_A8_v2,Standard,A8_v2,EntryLevel,Av2,8,16,2,Intel
Standard_B8als_v2,Standard,B8als_v2,Burstable,Basv2,8,16,2,AMD
Standard_B8as_v2,Standard,B8as_v2,Burstable,Basv2,8,32,2,AMD
Standard_B8ls_v2,Standard,B8ls_v2,Burstable,Bsv2,8,16,2,Intel
Standard_B8ms,Standard,B8ms,Burstable,BS,8,32,1,Intel
Standard_B8pls_v2,Standard,B8pls_v2,Burstable,Bpsv2,8,16,2,ARM
Standard_B8ps_v2,Standard,B8ps_v2,Burstable,Bpsv2,8,32,2,ARM
Standard_B8s_v2,Standard,B8s_v2,Burstable,Bsv2,8,32,2,Intel
Standard_D8ads_v5,Standard,D8ads_v5,GeneralPurpose,DADSv5,8,32,5,AMD
Standard_D8ads_v6,Standard,D8ads_v6,GeneralPurpose,Dadv6,8,32,6,AMD
